مرأ , مرأني
أخر , المأطورة
غور , بغور
عشر , بالعشرين
ذرر , ذرت
غثر , والمغثور
ظرر , ظران
عور , يستعيرني
عشر , عشارا
جرر , يجر
برر , والأبرار
صير , وصيرته
طير , الطيران
سير , التسيار
تور , أتير
سير , والسيرورة
عصر , كالمعصرة
بور , وبوارا
جور , ويجيرك
بور , وأباره
تير , ثؤرته
قتر , وأقتر
سرر , والسريرة
زرر , والزر
ظرر , ظررت
حور , فالحيران
قصر , المقاصير
قور , يقور
شور , يشوره
كرر , الكر
طور , طوارى
ترر , الترترة
دور , دارة
جور , وجورة
سور , السوار
ريشهر , الزائرين
غور , مغار
سرر , وسر
عرر , أعر
قرر , ويقر
خور , كالخائر
فرر , أفر
ثرر , وثرار
عشر , وأعشرت
حرر , الحر
غور , والمغيرية
ترر , تترتر
جرر , كالانجرار
قصر , والأقاصر
زور , كالزيارة
دير , بدير
كرر , وكرار
جرر , جرار
سرر , كالسرر
حير , الحيرة
دور , يدور
درر , درورا
شرر , شرا
ذرر , ذرية
قور , وقور
برر , البررة
سرر , وسرسورتي
فور , وأفرته
عمر , العمر
سرر , وسرائر
خرر , يخر
أخر , كالتأشير
زرر , زررت
حور , لتحير
قور , قائرا
غثر , غاثر
خرر , ويخر
درر , مستدر
زير , أسآر
عسر , وتعسر
حرر , إحرة
سرر , أسرة
ثور , وأثاره
ضرر , والمضارة
ريشهر , وزأبره
ثرر , الثرة
غرر , يغرنكم
قتر , والمقتر
صرر , يصر
سير , يسار
درر , والدر
عور , إعوارا
صرر , وصررت
عصر , وعصيره
سير , وسيره
خرر , خار
حور , محور
قتر , وقتور
خصر , تخصير
جور , الجور
قرر , وقر
حرر , وحرارة
خرر , أخرة
خور , خارت
صور , وصار
ظرر , وأظرة
قمر , وقمروا
قتر , قتار
جرر , كالاجترار
قصر , قصرا
عسر , تعسر
صرر , الصر
دور , الدير
قرر , والقرورة
غور , المغيري
بور , وباره
قور , قور
قتر , القتر
صور , الصورتين
برر , يبر
سور , بسور
غرر , الغرور
ضرر , ضرار
سور , والسوار
طفر , وطفورا
ريشهر , الزئر
طور , والطوري
صور , يصوركم
برر , وبررته
زور , أزيركم
ريشهر , زئير
درر , استدر
دير , والديراني
زرر , فتزرر
قصر , وقصيرة
كثر , كالكثر
شور , المشور
عمر , يعتمر
سرر , سر
دور , وتدير
شرر , والشرشور
طور , وطوار
عشر , العشرة
حرر , الحرار
بور , بار
غثر , واغثار
ضرر , والتضرة
سور , سوارها
صرر , صرصرت
حور , يحور
حير , وحيرا
قور , وقار
عير , والعير
حور , بأحورا
عصر , والعواصر
ثور , الثور
ذرر , كالذرذرة
عمر , اعتمر
طرر , طرة
ثور , وثيرة
فرر , فررت
حير , وحار
كثر , كثيرا
عشر , عشرة
عسر , عسر
قمر , وتقمرته
سور , والسور
حور , وحوراء
عرر , عرهم
غثر , غثار
عصر , والمعصر
بور , ابتيارا
عصر , كعصار
عصر , عصيرا
عرر , وعره
قور , والقار
زير , سؤر
أفر , وأفار
عور , وعاره
قمر , يقمره
عور , وأعوره
ضرر , والضرر
غور , وغور
صور , صورته
برر , كالبار
ريشهر , والزؤبر
درر , درور
شور , شار
غور , مغيرة
قرر , والقرة
غور , والإغارة
حرر , يحر
ترر , إترارا
جرر , واجدر
أفر , وتأكر
تور , تيرا
ثرر , ثرثرته
فرر , فرارا
صور , والصور
أخر , أشر
قور , قار
غور , وغرنا
سرر , وأسارير
غرر , غرك
خرر , خر
أفر , كأفر
طرر , ويطر
دور , وأديار
حير , حائر
جور , جوار
زير , سؤرة
كرر , تكريرا
أخر , الواشرة
بور , كالبوار
حير , وتحير
فرر , الفارين
شرر , شرك
سير , سيرا
سرر , سري
عرر , والعرور
قرر , وقرة
قتر , قترة
دور , داره
دور , بديرة
صرر , يصطر
زرر , وزريه
طرر , وأطره
فرر , فرفور
حير , واستحار
ظرر , المظرة
ثور , وثيارة
شرر , شرة
صرر , صرها
سرر , كالسرسورة
خنطر , الخنطير
شرر , شر
دور , أدؤر
سرر , أسارير
طير , طيرا
زور , كالزوير
طور , بطوار
غثر , والغثيرة
بحر , وبحور
غور , يغير
قصر , قصار
غور , فالمغيرات
ترر , والترتور
خور , الخوار
سير , سرت
عرر , تعر
جرر , جورة
زرر , بزره
عصر , العصار
صور , والصير
قمر , تقمرها
بور , والبارياء
حرر , الحرارة
خور , خوارا
عور , عورا
صور , صيرانها
ظرر , الظرير
قرر , وتقررها
قصر , وأقصرنا
كثر , الكثير
عصر , تعصيرا
عرر , معرورة
قتر , والقترا
زير , سائر
بغثر , بغثرة
ثور , وثورانا
صرر , صريرا
ضرر , وضاره
غور , غرت
غور , غيران
بور , كالابتيار
غور , والمغيريون
زرر , وزرور
بصر , البصيرة
قرر , وأقررتها
خرر , خررة
ثور , وثورة
غور , كالتغوير
فنقر , الفنقورة
ضرر , وأضره
طور , والطوار
صير , والصير
ريشهر , ومزأبر
ريشهر , ريشهر
شور , مشورا
شرر , الشرى
زور , وزور
كثر , بالكثرة
شرر , شرير
زرر , أزراره
درر , كالاستدرار
جرر , والاجدرار
ثور , وثيران
جور , جارتا
حور , فحار
زور , زور
حير , وحيران
عور , واعور
ذعر , مذعور
عرر , يعرها
ثور , وانثار
جرر , يجرها
ثور , وثيار
غرر , اغتررت
حور , احورت
قرر , واقترها
خور , يخرن
غور , غورنا
غرر , غررت
زير , السؤر
عير , يعير
عمر , يعمرها
قمر , وقمرت
غير , أغيرهم
فرر , مفرور
ضرر , يضره
دير , ودير
فرر , فراره
ضرر , كالضرة
غور , غاروا
قمر , التقامر
ثرر , كالثرارة
صرر , وصر
غور , والغور
ببر , وببور
دير , ذائر
عسر , والعسرة
قتر , قترا
قمر , فتقمر
زور , والزور
طور , يطور
فور , وفار
عمر , بالعمر
عمر , لعمري
أخر , مأطورة
سرر , سرر
حرر , وحرورا
ظرر , الظران
كرر , ومكر
ريشهر , زأرة
فور , فوارا
جور , جور
عسر , للعسرى
جعمر , الجعمرة
ثرر , كالثارة
حير , الحير
سور , السورة
طرر , يطره
جرر , وجرري
برر , البر
سور , وسيران
أفر , والأكر
شرر , لشري
غثر , وغثر
دور , والدور
ثرر , تثره
خور , فخاره
فور , وفورة
فرر , فرا
ثور , فالثور
زير , وأسأر
حرر , والحرة
قمر , وأقمر
ظرر , مظار
سرر , والسرار
شعر , ومشعوراء
درر , ومدر
قور , تقويرا
قمر , وقمر
كثر , ومكثير
قور , قائر
عرر , عرني
سرر , وسرار
صرر , ومصررة
عصر , تعصر
ترر , وتتر
سور , وسؤرا
كرر , والكر
ظرر , مظارير
ذرر , ذريتهم
خير , خيار
قور , يقورها
زير , بسؤرك
خصر , ومخصورة
ريشهر , ازبئرار
ظرر , والظررة
خرر , وخرخر
ترر , ترارة
سور , سوار
شرر , وشرير
فرر , فرها
ترر , ويتر
ذرر , بذريرة
زور , يزوره
عرر , تعرونا
عمر , والعمرة
تير , وثؤورة
ثرر , ثرا
جور , جواره
شنصر , كالشنصير
خير , وخير
حير , المتحير
بور , وابتاره
خرر , الخرخور
قور , والقارة
غثر , والمغثار
سير , سار
جرر , أجره
قصر , والقصر
أخر , والأصير
فرر , فرور
فرر , يفرك
ترر , أتترتر
ثرر , ثرر
درر , درت
خرر , الخرخرة
قرر , وأقر
صرر , الصرة
زور , لزير
عصر , معصرات
عسر , العسير
زير , بسوار
قرر , قرا
ظرر , والظرر
خرر , خرير
غرر , اغترني
قتر , ويقتر
غور , غورا
ضرر , ضره
ريشهر , زائر
خرر , الخر
كرر , التكرير
صير , وصار
خور , والخوار
زرر , أزرارا
كرر , يكره
شرر , أشر
ثرر , الثرثارون
جرر , الجر
غير , غيرك
بزر , بزور
أفر , مئفر
زور , الزير
بور , أبرنا
حير , كتحير
قرر , اقترت
كرر , كالكر
شور , كأشاره
دور , وأدير
بغثر , البغثر
برر , مبرورا
غير , يغير
كرر , كره
عمر , أعمرت
كرر , وتكرارا
زور , الزوير
جور , يجيره
حور , والحيرة
أفر , أفرت
ذرر , وذرت
ثرر , والأثرارة
غثر , الغثرة
صرر , صرصرة
تير , بثأرهم
عمر , عمرا
صور , صوره
خور , وخوار
طرر , ومطرور
فرر , فر
عير , عيرة
حرر , حر
غير , يغيرهم
شرر , الشر
ضرر , ضرر
عور , وعورت
حور , أحور
دير , وديرين
عصر , واعتصره
حير , تحير
أخر , آشر
فور , فار
بقر , وأبقور
شرر , وشرارة
فرر , أفرك
عسر , والعسرى
زير , سآر
خرر , والخرارة
عور , عيرانا
ريشهر , الزائرون
قور , والقيران
ضرر , الأضر
عرر , يعر
عمر , عمارة
قرر , تقريرا
برر , كالتبرر
سرر , سررته
تثر , تؤثور
سير , أسرتها
جرر , وجررت
بور , والبارية
درر , الدرة
ضرر , يضر
عور , يعار
قرر , والقرارة
بور , والبورية
صور , صيران
بور , بورا
حور , واحور
غور , الغور
قور , قارات
خور , الخور
غرر , غار
برر , البار
ظرر , المظرور
طير , طار
أفر , أكرة
غور , وتغوروا
جعمر , جعمر
عور , تعير
أفر , أفار
قمر , أقمر
خور , خورا
سير , وسرتها
خير , بخير
عسر , وتعاسر
قرر , قررتها
طور , وطواره
خرر , الخرير
خور , وخور
دير , وديرى
حير , حيراء
ترر , التر
فرر , يفرها
طور , كالطوران
درر , ودرا
صور , الصورة
صرر , صرصر
زور , كالزوار
سور , وسار
ترر , ترك
جور , المستجير
قور , اقتاره
قتر , قتر
غثر , والغثرة
شور , والمشوار
عشر , عشرين
ذور , مذعور
زرر , لزر
ترر , الأترور
طور , طوريون
حور , الأحور
سور , سوارا
سرر , سرسوري
درر , ودر
أفر , ومئفر
شور , مشتار
عير , ومعيوراء
عمر , وعمرة
قمر , قمراء
عمر , وعمره
ترر , تترتره
فور , فوار
زور , بزوره
قور , قرة
طرر , طرهم
خير , خيرة
زرر , زره
دور , وآدر
عشر , عشرا
عير , كعير
شرر , الأشر
قور , يقوره
قتر , وقتورا
خرر , خرخرة
خير , الخير
دور , وديارات
شور , شاره
صير , والمصير
صور , وصوركم
سرر , أسررت
ضمطر , الضماطير
شرر , والشرير
صير , المصير
فور , فارة
سور , أساوره
عسر , عسيرا
حور , المستحيرة
ذرر , يذر
ظرر , الظرر
صرر , بالصرار
كثر , كثرتاه
دور , كالديرة
طرر , طار
طور , طورى
عشر , فالعشرون
قمر , مقامرة
صور , صير
حور , حوره
طرر , مطرور
خور , يستخير
زرر , زرا
صور , وصورة
طير , وطير
ثرر , وثرورة
أفر , أقر
قتر , والقترة
خور , والتخوير
عور , أعيره
عير , عير
برر , أبرار
سير , كالمسير
عشر , العشر
صور , صور
صرر , الصرصور
أخر , والأشر
ريشهر , يزئر
طور , تطر
ثور , يستثار
عسر , وعسير
حور , الحوري
عور , يتعيرون
أخر , والمؤشر
بور , برت
ثرر , وثرور
ريشهر , والزئير
كرر , والمكرر
ضرر , أضر
درر , درا
شور , واشتاره
ثور , والثور
طرر , فطرت
عور , اعورت
حرر , الحرة
ضرر , تضر
أفر , والأفرة
برر , وأبر
ترر , والترارة
عشر , وعشرون
زرر , الزرزور
غرر , تغر
قرر , القررة
صور , كالصورة
قرر , وقررت
قمر , تقمر
عير , وعيور
بور , مبور
جرر , جرا
عشر , عشرون
ثرر , ثر
فنقر , كالفنقور
زير , أسأرت
خدر , أخادير
عرر , وتعرعرت
خور , خؤورا
فرر , وفر
جرر , جر
كرر , وكرورا
حير , يحار
زرر , وزرها
ريشهر , ويزأر
ذرر , ذر
دور , بالدار
زرر , الزرين
قمر , بقمرة
شرر , تشار
عسر , وعسارة
تير , الثؤرة
صير , وأصاره
جرر , اجتر
حرر , وتحر
خدر , خدور
غرر , فاغتر
سير , مسيرة
جرر , وانجر
قتر , يقتر
ثرر , الثر
قصر , يقصر
صور , صورا
سور , سرت
قرر , والقررة
سير , مسيرك
صور , صوركم
صرر , مصرورة
برر , ببره
كثر , وكثره
بور , ومبير
دور , كالدارة
دور , دير
أفر , وأفران
طرر , طرى
طرر , طره
عصر , واعتصر
قور , قوره
عمر , العمرة
بور , بوار
قتر , فالقتر
تير , بالتيار
عشر , وعشرت
قرر , وأقره
فرر , فررتها
تير , والتيار
خير , وخيرة
دور , تديرونها
زرر , الزرزير
درر , دري
ضرر , مضارة
جور , جار
دير , والديرتان
حور , كالمحار
ثور , وثوره
برر , أبرارها
شور , مشوار
غور , والتغور
غرر , غرور
شور , بشوره
عصر , العصر
شعر , وشعورا
صير , يصير
عصر , عصره
برر , ألبر
جور , المجاور
قرر , يقرها
أخر , المأطور
جرر , وجرره
صرر , والصرصور
عسر , متعسرة
عرر , والعرة
قور , واقتوره
صرر , يصرها
شنقر , الشينقور
عمر , والعمارة
ثور , ثيارة
حرر , وإحرون
غرر , غرته
سير , يسيرها
ضرر , الضرة
قتر , وقتر
سور , وساوره
حور , حيرانا
دور , دور
عور , واعوار
طور , أطوار
عير , العيران
قصر , وقصر
عشر , الأعشر
قور , وقيران
زير , الزير
سور , ساور
دور , الدار
بغشر , بغشور
قتر , أقتر
خور , خورانه
برر , وبررة
حرر , حرور
حور , والأحوري
صير , صار
جور , الجار
دور , وأدورة
صير , وصاره
غور , وأغاروا
حير , متحيرة
قور , قورا
أخر , كالتأطير
درر , الدر
أفر , أكرا
عور , عورت
فرر , الفرار
سرر , كالسرار
ظرر , ظرار
شور , ومشارا
زرر , الزر
شرر , يشر
أخر , تأطيرها
جرر , وجرر
ريشهر , تزأر
عشر , تعشيرا
جور , يجيرها
غثر , غاثرا
عور , المستعير
دور , والديرة
ريشهر , والزأرة
شعصر , الشعصور
فرر , وفررة
قمر , وتقمر
أفر , أفرة
زرر , وزر
طرر , الطرة
زور , والزير
أخر , أشراء
درر , ردره
حور , حؤور
تير , التير
غير , وتغير
غور , وأغار
غرر , بمغرور
عرر , عرت
عور , تعوار
شور , نشوارا
فور , الفوران
عور , واعورت
جور , جاري
فرر , الفرفوري
ثرر , الأثير
كرر , أكرار
أخر , والمأطور
عير , عيارات
خصر , مخصورة
خرر , والخرخور
زرر , أزرارها
ظرر , كالأظرور
ثرر , الثرثار
كثر , واستكثر
فرر , وفرورة
زير , وسائر
جور , والمجير
قور , فتقور
درر , درك
حور , حوراء
كثر , تكثيرا
كثر , مكثر
خير , الخيرات
طرر , أطرى
عرر , عره
غرر , والغرور
فور , فورا
عشر , أعشارا
حير , حار
جسر , وجسور
أفر , أفورا
عور , وعوره
خور , الخورانات
عرر , ونعرر
صرر , صرر
شور , وشيارة
بور , البور
عسر , العسر
ظرر , الأظرة
قرر , قررت
عرر , العرر
ترر , تررت
ثرر , تثريرا
ريشهر , زئر
طرر , وطرورا
غور , الغائر
حور , التحير
خير , وخيار
أخر , وأشر
فور , فورانا
فور , وفارت
فور , فوري
بشتر , البشتيري
صور , وصيران
ثرر , والثر
غرر , غريرك
قرر , مقرور
عشر , وعشرة
طرر , وطرير
سرر , السران
ذرر , وذره
أخر , بالمئشار
أخر , والآشرة
حور , متحيرة
عصر , وعصاره
كثر , ومكثار
خير , خيور
تير , التيار
سير , تسييرا
قرر , يقر
عور , العور
تير , ثؤرتي
عرر , العر
سرر , سرا
ثور , ثورة
عسر , وعسر
خير , كخيره
طير , والطير
جرر , جرت
قمر , وأقمرت
طرر , الطرتان
دور , ودارة
عرر , عرا
كثر , كثر
أخر , وأشيرة
حير , حيرى
شور , نشوار
أخر , والمستأشرة
قمر , الأقمر
عير , العير
حور , والحؤور
برر , بربور
شور , مشارته
دور , دوران
عشر , عشرت
هزز , هزي
دوس , والدوس
هصر , يهصره
هصر , هصرت
كنز , يكنزه
تيس , وتيسة
وجر , توجر
أسس , أسس
وتر , وترا
وغر , والتوغير
رسس , كالأرسوسة
حوس , يستحوس
مير , والميار
نشر , منتشرين
حرس , وتحرست
خيس , والمخيس
عزز , التعزز
مور , المور
نور , الأنوار
مهر , مهور
حسس , كالحسيس
وثر , ووثر
مير , مار
وبر , والوبرة
وقر , موقرة
مرر , مستمر
جرز , جروز
أبس , وأبسس
وزر , والوزر
رسس , رس
بسس , وبيسوس
وزر , أوزار
هصر , اهتصارا
هور , يهورهم
هصر , فهصره
حزز , حز
أرز , ليأرز
وتر , الوتر
كور , وكار
وتر , ووتره
وعر , عر
بأس , بائس
نشر , ينشرها
بزز , بزة
حوز , الحوزة
خزز , الخزز
كنز , كنزه
أنس , لإنسان
كور , وكور
وقر , قر
بزز , يبزه
وثر , ميثرة
نور , النور
وذر , ووذار
جزز , والجزوز
جسس , والجساسة
هور , يهوره
بزز , وبزابز
وقر , موقران
حسس , حسيسها
وغر , الوغرة
وجر , أوجرة
وغر , يغر
أسس , المأ
تيس , تيسية
عزز , وأعززت
نفر , نافرة
نير , والنير
خيس , خيسا
نور , ونيران
دوس , وداسهم
هزز , هزهاز
حجز , حجزت
وغر , أوغره
وزر , يزره
خزز , واختزه
وتر , أوتر
هصر , والهيصر
وعر , ووعورا
وثر , ومياثر
وثر , توثيرا
هرر , هرور
وتر , فأوتر
يسر , إيسارا
لزز , وتلزلز
دوس , للدوس
رسس , رسيس
أزز , أزيزا
وذر , الوذرتين
مير , الميرة
نور , بالنور
ذفطس , مرأس
وثر , ووثرا
جوز , ومجيزه
مير , مورا
دوس , والدواسة
حرس , حريس
حوس , لحواس
نور , النوريان
وزر , وازرة
كنز , والكناز
عزز , ويعز
جسس , جساسا
حسس , حسوسا
مطر , مطر
وثر , وثارة
هرر , هرة
يسر , ياسرتهم
وجر , وجار
عزز , وأعزاء
رسس , والرسارس
دوس , الديسة
وثر , ووثير
يسر , تيسر
وجر , ووجراء
أسس , إساس
وفر , الموفرة
بسس , يبس
جوز , وجاز
نور , كالمنار
أزز , وتؤز
حزز , حزة
جوز , وجؤوزا
دوس , فانداس
خيس , والخيس
نشر , فانتشر
بأس , بأسا
وقر , الوقر
خسس , وخسة
دوس , والمداسة
مطر , والممطر
وذر , فوذر
عزز , والعزة
نور , والمنيرات
ذفطس , الترؤس
حسس , حسا
حوس , وحاسهم
هصر , والهصرة
مزز , المز
أسس , وأسه
حوز , حوزتها
بأس , بؤس
وجر , وأوجر
نفر , وتنفر
نور , ونيرة
مور , موارة
وكر , وكره
نثر , نثر
حسس , يحسه
هصر , والهيصار
رزز , ارتز
وقر , وقرى
هرر , هرهورة
وتر , ترة
مطر , استمطره
مور , أمارت
هزز , هزهز
أرز , تأرز
حسس , والحاسوس
وعر , ووعر
هرر , هار
روز , فرازه
أرز , وأرز
يسر , والتيسير
حسس , حس
مطر , كالممطر
مطر , أمطار
وكر , والوكيرة
مرر , ومره
دوس , الدوس
وفر , والوفراء
أسس , أسيسا
أرز , الأريز
وذر , توذيرا
وكر , كالوكرة
ذفطس , كالريس
روز , رازت
ذفطس , والرأس
حجز , الحاجز
وعر , يوعر
خيس , يخوس
ذفطس , يرأسه
وزر , أوزارها
مرر , مرتها
كنز , ويكنز
جسس , مجسته
حرس , الأحرس
خسس , المستخس
حجز , حاجز
وكر , وكرا
جوز , جزت
وغر , ويوغر
بزز , بز
جسس , واجتسه
جسس , جسوه
لزز , يلزان
يسر , والميسرة
خوس , يخيس
جسس , مجسك
أرز , أرزة
وقر , موقر
مزز , وماززت
سوس , سوس
مزز , ومزمزوه
كنز , مكنوزة
سوس , كالساس
حوس , يحوسه
لزز , اللزائز
وثر , أوثر
بزز , بزا
يسر , واليسار
أنس , ومئناس
حسس , الحس
وزر , ووزر
خسس , الخس
حرس , حرسا
وذر , الوذاري
وزر , وزرت
بسس , وبسا
رسس , رساس
خزز , والخزخز
سوس , وأساس
خيس , الخيسية
روز , روزا
بزز , البزبزة
حرس , وحراس
نور , نيرة
هرر , وهره
مور , مور
وتر , فوترتهم
مزز , وتمازت
وفر , ووفورا
خسس , تخس
أنس , كالإنسان
وقر , وعقرى
كنز , بكنزة
جسس , يتجسس
حرس , واحترسها
خيس , وخيسهما
مزز , كالمزاء
وعر , يعر
دوس , الدوسي
وذر , والوذرة
مزز , تمز
حزز , الحزاز
حزز , كالحزيز
وغر , واغرة
حسس , محسوس
وعر , والواعر
نثر , نثرا
خزز , الخز
مزز , والمزز
حوز , حزها
بزز , بزبز
جسس , كالتجسس
هور , وهؤورا
يسر , ليسرات
وغر , الوغير
ذفطس , والمرآس
كنز , كنزوا
وغر , توغيرا
حسس , وحواس
نور , نورا
عزز , أعز
بسس , بسوس
ذفطس , المرآس
جزز , جزز
وعر , وعور
رسس , ر‌س
جزز , جزة
حجز , حجازية
خزز , والخزاز
مرر , ومرورا
خزز , كالاختزاز
هرر , والهرهور
وغر , أوغر
حرس , يحرسها
هور , يهار
حزز , حاز
خيس , خاس
وجر , والوجار
وكر , أوكار
وذر , التوذير
لزز , كاللزز
حوس , حاس
مور , مذكور
رسس , كالرس
بسس , بسست
وبر , وصنبر
مزز , ومززت
سوس , سوسه
نشر , والمنشار
هور , أهوره
خيس , تخيس
مير , وميار
بسس , البسوس
وتر , كالترة
نور , النوري
هرر , كأهره
وغر , الإيغار
حسس , الحساس
حجز , وأحجز
مرر , أمررت
نفر , النفر
وجر , الوجار
وكر , الوكرى
حجز , الحجاز
أسس , يؤس
يسر , يسروا
حوس , وحوسى
كور , وكؤورها
خزز , الخزوز
أرز , أرز
مور , ومار
جزز , كالجزوزة
رزز , وترزيز
رسس , ورسيسا
وجر , والوجر
أسس , أسها
مرر , ومرمور
أبس , الأبأس
يسر , التيسور
هور , هار
جزز , كاجتزه
كنكر , كنكور
وكر , والوكرة
تيس , ومتيوساء
وثر , ثرة
رسس , رسس
هصر , يهصرها
مزز , والمزتين
بسس , بسة
جوز , جزته
لزز , اللزز
حسس , حاسة
هزز , هز
وعر , أوعار
نثر , نثار
حرس , حروس
رزز , وإرزيز
دوس , دواسة
عزز , والعزوز
وجر , والأوجار
مرر , والمرة
وغر , وغرت
بأس , وبأسا
وتر , ووترا
لزز , لزاز
يسر , يسر
أزز , والأزة
هرر , هر
نور , كالمنارة
حجز , ينحجزوا
كرر , وكر
أنس , الآنسينا
حزز , احتز
أزز , تؤز
جوز , جاز
مرر , مر
حسس , والحسيس
نشر , انتشرت
لزز , واللزيزة
وثر , يثره
نثر , منتثر
أزز , وأزها
وتر , وترته
هزز , فاهتزت
كور , كارها
وجر , ووجر
جزز , وجزة
لزز , لزا
وثر , الوثارة
هور , فهار
تيس , وأتيس
هرر , هرت
أسس , والتأسيس
مير , ومرت
أنس , وأنس
أزز , يؤزه
يسر , وياسر
أرز , أروزا
وتر , الوتيره
وقر , ميقار
كور , وتكوير
نثر , تناثروا
هرر , وهرة
هزز , هزا
نير , نير
نفر , نفر
أنس , الإنسيون
وفر , توفيرا
حزز , بحزته
يسر , تيسرا
نفر , فنفرت
مهر , ممهورة
بزز , البزباز
رسس , بالرسي
أنس , والإنسان
وجر , وجراء
وبر , وأوبر
حزز , حزازات
هزز , هزهزا
مطر , مستمطر
خسس , وخس
حجز , حجزا
أسس , أساس
ذفطس , ورؤس
مير , مير
نور , والنير
أرز , والأرز
نشر , النشر
حجز , تحجز
حوس , حوس
بأس , والأبؤس
روز , يروزه
لزز , لزازا
وجر , وجارها
خيس , أخيس
خزز , خزاز
بأس , البؤسى
هزز , يهزه
أنس , أنس
هصر , فانهصر
نور , ونيارا
بزز , بالبزباز
خزز , خزخز
يسر , واليسر
وكر , كوكره
بسس , البسيسة
سوس , سيس
وفر , واتفر
هرر , وهرار
هزز , هزز
نثر , وتناثر
هور , فهاروهم
كنر , كالكنانير
وقر , موقورة
وتر , لوتر
حوس , التحوس
وذر , واحذره
حوز , يحوزه
بسس , وبسك
مور , المشهورة
هرر , هريرا
أزز , وأزيزا
روز , والراز
وعر , بالتوعير
جوز , وجاوزه
حرس , واحترست
مير , وتمايره
لزز , ولاززته
جسس , فتجسسوا
خيس , كالخيسة
كنهر , الكنهور
مير , يمير
مرر , كمر
عزز , تعززا
حجز , احتجزت
خزز , خز
رسس , والرسى
مرر , مرورا
وعر , وأوعر
هصر , ومهاصر
بأس , بئيس
خسس , خساسة
دوس , بالمداوس
وبر , الوبر
نفر , واستتنفرته
كنز , الكنزين
عزز , أعزة
وثر , وثرة
حسس , والحواس
عزز , وعززتهم
أسس , وأسسها
أسس , تأسيسا
بأس , البأس
دوس , لدوس
وذر , وذرا
ذفطس , أرؤس
حرس , وحراسته
عزز , يعز
خزز , واختززت
كور , أكوار
جزز , جزاز
ذفطس , مرؤوس
جزز , الجزاز
جزز , مجزوز
مير , ميارتنا
نير , أنيار
وقر , يقرها
وجر , وجره
خزز , المختز
رزز , والإرزيز
مرر , مريره
حسس , وحسست
لهور , لاهور
مطر , وأمطرها
جوز , المستجيز
خزز , يخزه
نثر , وتنثر
كنز , وكنزة
لزز , ولزاز
وذر , ذر
وبر , ووبارة
هور , الهورة
تيس , الأتيس
دوس , والدويسة
أزز , أز
نشر , ونشرها
جعس , والجعسوس
وكر , الأوكر
وذر , ذرني
لزز , ولززا
كنز , مكتنزة
هصر , الهواصر
بأس , والبؤسى
خسس , وخسست
أسس , أس
خيس , التخييس
مير , وتماير
وثر , وثره
نشر , كتنشر
نثر , منثور
نور , ومنيرة
كور , والمكور
وذر , واذار
خيس , تخييسا
كردر , وكردر
ذفطس , وآراس
رسس , ورسوه
أسس , يؤسها
أرز , يأرز
ذفطس , الرأس
أرز , الأروز
هزز , هزاهز
مطر , ومطرت
حرس , ويحرسه
حوس , حوسى
وتر , والوتر
عزز , العزة
أسس , إس
وزر , وزيرا
مير , وميرا
نفر , والينفور
حسس , حسست
جوز , يجيزون
كنهر , الكنهورة
حرس , يحرسه
هرر , وبالهرير
نثر , فانتثر
حوس , حواسات
هزز , هزة
ذفطس , رؤس
وكر , والوكرى
وعر , ووعرا
جوز , أجزنا
حزز , والحزاز
وزر , وزرة
حجز , والحجزة
بسس , وأبس
دوس , المدوس
وكر , توكر
رسس , ورسة
وذر , وويذار
مطر , مطرنا
حسس , كحسست
حوز , بحوزاته
رسس , برس
كور , كالاستكارة
وجر , وجرا
مرر , ومرارا
نثر , متناثر
خسس , ويخس
مطر , وأمطرهم
مير , ميرا
هزز , والهزة
ذفطس , ورؤوس
رسس , الرس
مير , وأمار
خسس , بخسيس
بسس , بسه
حجز , والانحجاز
بأس , باس
وغر , واغر
وقر , وموقرة
يسر , تيسرت
نور , تنير
وقر , وأوقر
بزز , بزبزا
وغر , وغرة
بأس , البؤس
كنفر , الكنفرة
بزز , والبزباز
سوس , سوسا
هصر , والهصور
كور , كوره
أنس , إنسان
أزز , ائتزازا
وزر , الوزير
وتر , يترهم
وجر , ووجرته
جسس , تجسست
حسس , يحسهم
هرر , هرار
هصر , الانهصار
مرر , إمرارا
خزز , وخزازى
لزز , كلز
كعر , كوعر
وفر , وفراء
يسر , اليسرات
بأس , ببؤسى
خزز , خزه
وذر , ذره
لزز , واللز
وفر , وفارة
وبر , وبور
ذفطس , للرؤوس
كنز , كنيز
وفر , وفرة
بزز , بزه
وفر , فرة
أسس , الأسيس
ذفطس , رأسا
كنز , مكنوز
حوس , المتحوس
سوس , ساس
مطر , مستمطرا
يسر , وياسره
جوز , يجيز
نفر , ونفرانا
نير , أنيره
دوس , داسه
ذفطس , والرئيس
حوس , يحوس
رسس , والرسيس
خزز , اختززته
وجر , وجرة
نفر , نفرا
خسس , وخسوسا
روز , رويزي
وفر , والوفر
بسس , البسي
أنس , أناسي
حجز , حجزه
جسس , كالمجس
خزز , خزخزا
خزز , خزز
مرر , وأمره
وثر , وثرها
حسس , محسوسة
هزز , الهزنبز
هزز , يهزها
بزز , بزاز
عزز , وأعزة
جزز , تجز
حجز , بالحجاز
وعر , ووعورة
نشر , وينشره
حسس , والمحسوس
كنز , كنيزة
وذر , الوذر
وبر , والوبر
مزز , مزيزا
رزز , والرزاز
نفر , نافره
يسر , كالياسر
حجز , فاحتجز
وعر , الوعورة
