دبب ,وأدب
شتع ,شتع
سرغ ,السرغ
ثوع ,يثوع
حوط ,تحط
غضض ,والمغضة
زيف ,الزيف
حوط ,حوطان
قدع ,قدع
ريع ,وريوعا
ملظ ,الملوظا
ريط ,رياط
سعط ,الإسعاط
عطط ,واعتط
خطط ,كمخطط
وزع ,ويزع
سلع ,تسلع
غطط ,وتغطغط
فوض ,تفاوض
لعمظ ,كاللعماظ
ذرع ,ذراعها
سوط ,وسوط
كنط ,لأطه
جوف ,جوفيكالخص
ذفف ,ذفف
غنظ ,يغنظه
مرجط ,مرجيطة
رشف ,رشفنه
سمط ,السميط
سحط ,وانسحط
قيع ,قيعان
مرط ,بمروطهن
هرمع ,الهرمع
غطط ,غط
قمع ,قمعت
مرع ,وأمراع
وسط ,كوسط
ولع ,والعباب
حطط ,محتطي
تلع ,والتليع
خلف ,كأخلف
نفط ,النفط
فيض ,وفاضت
رمع ,اليرمعا
ليط ,فالتاط
ضيط ,الضيطان
ذعط ,الذعط
منع ,كمنعه
شيع ,يشيعهن
رغف ,رغفه
نوط ,ينوطه
فظظ ,إفظاظا
هيض ,كاهتاضه
لطط ,يلطط
بيع ,مبيعات
ولع ,الولعقول
أبط ,الأقط
سوط ,وساط
شمط ,شمطا
مخط ,ومخط
زخرط ,الزخرط
خضض ,والخضخض
حطط ,حط
وزع ,والوزاع
خطط ,خطها
شسع ,الشسع
حفف ,حففالرجل
نحض ,النحيض
ضبع ,وضبعانات
وقظ ,والوقيظ
جزع ,والجزع
دثط ,دثط
قرفط ,اقرنفطت
أثف ,تأثفوه
حنط ,وأحنطه
شظظ ,كأشظ
حيض ,حائضة
شرع ,الشراع
شنط ,الشناط
قرع ,يقرعها
روض ,الرياضة
حرجف ,حرجف
خرط ,الخراطى
ورع ,الوريعة
ورع ,وتورعالرجل
حنط ,الحانط
شفع ,شافعي
جفف ,جفجفاغير
خضع ,والخضوع
خمع ,والخماع
عطط ,يعطه
وجع ,وجعالكبد
سلط ,وسلطانة
سفف ,سفوفا
شرع ,تشرع
دقع ,ودقوعا
رمع ,واليرمع
أبط ,التأبط
عجلط ,العجلط
قرط ,قراريط
عجلط ,عجلطه
قضض ,يقضقض
قلفع ,قلفع
وكع ,أوكعوهي
خطط ,تخط
ضلع ,ضلعه
دقع ,دقعى
قبع ,قباعا
قنع ,القناع
خلف ,خالفها
حفف ,والحفافة
ميط ,نأط
حوط ,تحوط
ورط ,ورطات
غيظ ,غاظه
ليط ,وألياط
خضض ,وتخضخض
طوط ,طاطا
فيظ ,فائظة
جنف ,جنف
غوط ,والغائط
ثبط ,وثباط
جزف ,وجزيف
سيع ,أسيع
حجرف ,الحجروف
ينع ,اليانع
سربط ,المسربطة
وضع ,وضعالجناية
مضغ ,ومضغ
ورط ,توريط
زرع ,وزرعة
قيع ,الأقياع
معع ,معمع
بعع ,البع
ريط ,الريطة
مطط ,مطمط
شوظ ,وشاظ
حمط ,حمطه
دلف ,دليفا
علبط ,العلبط
سعط ,السعوط
روع ,الروعأي
دعع ,الدعدعة
نعع ,والنعناع
ريط ,رياطا
ملع ,ملعا
مهع ,المهع
يدع ,ميدع
قطط ,وقط
وزع ,ووزوع
ورع ,وروعكقعود
خيف ,خيفانة
خلف ,الخوالف
خلط ,والأخلاط
خنجف ,الخنجف
أنف ,الأنوفمن
زرع ,الزارعون
ضوض ,وضوضاء
جزع ,جزع
رفض ,الرفوض
سبغ ,سبوغا
برشط ,برشوط
صدع ,والصديع
خشع ,اختشع
ربع ,المرتبع
نوض ,كنضاه
حيض ,حيضتك
عيط ,عوائط
لخع ,لخيعة
حثف ,أحثاف
ثرعط ,ثرعططا
خطف ,يخطف
محض ,ومحضا
سقف ,سقوف
ولع ,ولعانا
حرشف ,الحرشف
أبط ,بأطط
ضوع ,الضواع
عفط ,وعفطانا
خوض ,نخوض
نطط ,والأنط
روع ,أروع
قبض ,والقبضة
جوظ ,كالجواظة
حثف ,الحثف
خلف ,وأخلفت
فكع ,الفكع
سمخرط ,سمخراط
خثع ,الخوثع
شمط ,والشميط
رثع ,رثع
شوظ ,شوظة
كبع ,ومكبوع
ودع ,ودعهريرة
وسع ,وسعهالشيء
سمط ,وأسمط
عرض ,والمعرض
مضض ,والمضة
حطط ,والحطة
ربع ,المربعي
قرع ,وقرع
حوط ,أحطت
قسط ,قسطوا
خنتف ,الخنتف
حوط ,حيطان
فدغ ,فدغه
محض ,والأمحوضة
خلف ,خلوفا
وبط ,ووبوطا
ثيع ,ثيعا
فضض ,وأفضه
رشف ,يرتشف
بدع ,مبتدعها
شرع ,مشروعة
هطلع ,الهطلع
خوف ,وخواف
شرط ,وشرط
كظظ ,كالمكاظة
نقض ,تنقض
وكع ,الوكاعة
شرع ,والشرعة
حيف ,تحيفما
عضض ,أعضاض
ليع ,ليعانا
صلع ,صلعاء
هملط ,هملطه
جمع ,جوامع
نهض ,نهضوا
ورط ,والورطة
كرع ,الكرع
رجع ,ورجيع
ندع ,أندع
سوغ ,وسواغا
سفف ,وأسففته
قيض ,وتقيض
جسع ,الجسوع
كظظ ,الكظاظا
غضض ,وانغضاض
فضض ,فافتضها
مخض ,استمخض
برشع ,ببرشاع
هبط ,ويهبط
حفف ,بحفافيه
سرط ,سرطا
خلع ,الخولع
هضض ,الهضهضة
وشظ ,الأوشاظا
جحف ,الجحف
شمط ,شمطت
شرط ,شارط
سعط ,سعطة
خضف ,وخضافا
فسط ,فسيطة
مسع ,مسع
لضض ,ولضلضته
شيط ,وشياطة
زيغ ,الزيوغ
عضض ,العضوض
ألف ,وتألفوا
فوع ,الفوعةمن
رسغ ,الرسغ
خلع ,الخلع
قدع ,قدعه
سرهف ,سرهفت
نضض ,نضيضة
ذهط ,ذهوط
خوض ,التخوض
نحض ,نحوضا
هضض ,يهتض
حضض ,والحض
زيط ,زاط
زخف ,زاخف
خشع ,خشع
عوض ,عوضه
قدع ,فقدعني
روغ ,رواغاء
دلثع ,دلاثع
نعع ,النعنعة
كظظ ,وكظاظة
ضبع ,ضبع
سحط ,انسحط
سلط ,سلاطة
نعط ,ناعط
بوع ,باعي
أبط ,وأطيطا
عيط ,ومعيط
قطط ,القطقاط
خلف ,وخالفة
نبض ,تنبيض
بربط ,البربط
عرمض ,العرمض
صقع ,فصقع
ودع ,وديعةلهذا
وشغ ,وأوشغهمثل
ألف ,وألفالشيء
سفف ,سفسافه
جبع ,الجباع
شرع ,شروع
يرض ,ليريض
وتغ ,الوتيغة
برذع ,والبرذعة
جدف ,يجدفه
لتغ ,لتغه
وقع ,توقع
فضض ,فانفضوا
أسف ,يتأسفعلى
وشع ,والوشيعة
خرط ,والخريطى
مرض ,المرض
وقع ,موقع
قبض ,المقبوض
أنف ,الأنف
دلع ,ودلوعا
قعع ,وقعيقعان
هجنع ,الهجنع
رثط ,وترثط
لطط ,فلطت
سيط ,سيوط
قيظ ,وأقياظ
رغف ,أرغفة
وكع ,وكعتهالحية
صوغ ,يصوغالكلام
جفف ,جفافهمن
زحف ,وزاحفونا
عقط ,العقط
سقع ,السقع
حرجف ,الحرجف
زهط ,زهيوط
وكع ,والوكيعةمن
بطط ,والبطيط
قعع ,والقعقعة
ومض ,كأومض
مثع ,مثعت
حنط ,يحنطه
جيف ,جيف
حثرف ,الحثرفة
يقظ ,يقظ
صفع ,بصفع
قطع ,قطع
ضوع ,تضويعا
خمط ,خميط
بيع ,وبياعا
لوع ,لوع
قيظ ,وقيظي
كوع ,والكوعفي
نحض ,ونحاض
دقع ,دقعا
نوط ,بنياطها
درنف ,الدرنوف
قيض ,كانقاض
تعع ,متعتع
سغغ ,تسغسغفي
ختع ,وختعت
خطط ,والخط
رعظ ,الأرعاظا
روع ,المروع
بسط ,بسط
ريع ,يتريع
يقظ ,استيقظه
ثعط ,الثعيط
ولع ,أولع
فضض ,فضه
شطط ,ويشط
وسع ,واسعةالخطو
يفع ,يفوع
ألف ,مألوف
بوع ,بوعا
رفع ,رفعه
حطط ,وحط
غطط ,وغط
صلع ,والصليعاء
خرف ,الاختراف
خلط ,واختلطه
هيع ,هيعةطاروا
لهط ,لهطا
وقع ,واقعقال
سحف ,سحف
عوض ,عضت
حوض ,حياض
قضض ,كأقضت
قرصع ,تقرصعت
قرط ,يقرط
قعط ,القعط
غملط ,غملطات
عضض ,يعضون
ريع ,ورياع
غمض ,كالغمض
وقع ,توقعه
قوع ,وتقوع
برقع ,برقع
جدف ,جدف
كظظ ,الكظاظ
مضض ,ومضاضة
فطط ,الأفط
سبع ,سابع
صرع ,الصريع
قرع ,قريع
جوع ,جائع
جلف ,جلفه
عوض ,وعوضه
فنع ,فنع
طمغ ,طمغت
وسط ,وسوط
ليط ,يلاط
ربض ,الربوض
ميع ,يميع
دثع ,والدثع
قوض ,التقويض
عرض ,اعترض
فضض ,افتض
خوط ,خوطا
رجع ,والرواجع
رعف ,رعف
نوط ,النيط
ثلط ,يثلط
أسف ,والأسيفة
جلفط ,جلفطها
خوف ,وتخوفعليه
وقظ ,وقظه
جنف ,جنفا
غيض ,غاضه
خضلف ,الخضلفة
شفع ,والشفع
وسع ,وساعأي
قبض ,تقبيضا
قبض ,قبضك
دحلط ,دحلط
وكع ,وكع
جزف ,جزافا
زعف ,زعاف
زفف ,لزفزفتهفي
ريط ,وريطة
شفع ,شفعاء
ضيع ,ضيعات
غوط ,متغوط
غضض ,غضه
ودع ,وتوادعا
حظظ ,أحظظ
طوط ,طاطة
نعط ,وناعط
كنظ ,يكنظه
زعف ,والزعوف
أنف ,أنفت
شبع ,الشبع
هرض ,الهرضة
عظط ,العظيوط
خدع ,تخدعا
ميط ,تمايطا
وسط ,بأواسط
خفض ,واختفض
شوط ,أشواطا
نيط ,بالنيط
فشط ,انفشط
قيظ ,كقيظوا
قرع ,والأقرع
رعف ,الراعوفة
ذقط ,يذقط
وكع ,واللكاعة
شيط ,الشياط
أفف ,تأفيفا
جنف ,وجنوفا
حضض ,الحضوض
خوع ,خوعى
طوع ,طواعية
خفف ,الخفافي
برعط ,برعواطة
سنط ,وسناط
صرط ,الصراط
حوط ,حاط
أبط ,وأراط
نوع ,أنواعا
غيض ,غيض
جترف ,جترف
رقط ,ارقطاطا
لطط ,ألط
همغ ,الهميغ
ضرفط ,والضرافط
هيع ,هيعليع
سوط ,وسوطها
دنغ ,دنغة
ريغ ,الريغ
وشع ,واستوشع
سقط ,وساقط
دقع ,داقع
رفع ,رفعت
ودع ,وأودعكتابه
ذمط ,ذمطة
عضض ,المعاضة
فوط ,فوطه
بيع ,بعن
قرع ,واقترعناك
ذلع ,الأذلعي
مطط ,والمطيطة
نغط ,والنغط
خزع ,تخزيعا
وسط ,أوسطهم
بركع ,البركع
صرط ,صراط
وقع ,ووقعبالأمر
مخط ,كامتخطه
قضض ,بقضة
حطط ,لحطت
ربع ,ومرتبعا
ضفدع ,الضفدع
حسف ,يحسفه
أبط ,والمأروط
رفض ,كأرفضها
خوض ,دأضا
رفع ,ويرفع
سلع ,سلوع
غمض ,غمضا
ضيع ,والضيعات
أبط ,الأطط
ميط ,وأمطته
ربع ,ورباع
شيظ ,تشايظا
وسط ,وسط
دوع ,دوعا
ذرع ,المذارع
ربع ,وارتبع
خنف ,مخناف
مضض ,مضه
وسع ,واستوسع
خلف ,والأخلف
خضع ,الخضوع
لقع ,لقعانا
خوط ,الخوط
وضع ,تواضعما
خطط ,خطى
مضع ,المضع
وجع ,يوجعهرأسه
روض ,الرياض
صعط ,وأصعطه
فظظ ,والفظظ
سمسط ,سميساط
حشف ,الحشف
خضض ,خضخضت
قيظ ,تقيظ
غوط ,الغيط
دحض ,ودحيضة
حوط ,كحوطه
فرشط ,الفرشطة
قدع ,واقدعوا
وضع ,واضعة
قرط ,كقرطه
تغغ ,تغتغكلامه
خسع ,خسع
أبط ,الأطاطة
سقط ,تساقط
سمعط ,واسمعط
أنف ,كأنفه
شيع ,شايعه
كظظ ,ومكظظ
تيط ,وثئط
مغغ ,مغمغة
أنف ,أنفكعنق
ضوع ,ضوعه
جنف ,والجنف
برشط ,برشط
يفع ,يافع
غيط ,ويغيط
روض ,ريض
فرض ,وفراضة
خيط ,خيطت
لحط ,لحط
جوظ ,يجوظ
رضض ,كالمرضة
خلف ,والخالف
ظلع ,الظالع
دقع ,وأدقع
بيع ,تبع
ردف ,ردفا
قطط ,قطت
عذط ,والعذيوط
زوف ,والزووف
ورط ,أورط
حيط ,تحيط
زوط ,تزويطا
رنع ,رانعون
قفط ,قفط
زدع ,زدع
بثط ,بثطت
بيظ ,يبيظ
سنع ,سنائع
سيغ ,وسيغه
ربض ,ربوض
دغف ,دغفاء
وقع ,والوقيعة
سلغ ,سلوغا
خلط ,المختلط
ثرعط ,والثرعطيطة
صقع ,صاقع
هجع ,يهجعون
بوع ,ينبوع
عضض ,وعضوض
صلمع ,صلمعه
زحف ,يزحف
بلنط ,البلنطاء
درع ,أدراع
زحف ,وأزحفت
دقع ,الدقع
قرع ,يقرع
خرنف ,والخرنفة
خزف ,الخزفي
صيع ,تصيعالنبات
هبغ ,هبغنا
خضض ,كالخضاضة
تيط ,ثأطان
فضض ,الفاضة
شحط ,ومشحطا
بخذع ,فبخذعه
شفع ,أستشفع
زلف ,المزلفة
خبط ,خبطه
نبغ ,نبغ
فيض ,تفيض
سقط ,سقاط
شيع ,شيعهذا
دهع ,ودهدع
ملغ ,الملغ
كربع ,فتكربع
خدف ,الخندفة
سوط ,أسوطه
وجع ,وأوجاع
زفف ,تزفزفمن
وكظ ,وتوكظ
ضفع ,الضفع
خرط ,الخرائطي
شنع ,ومتشنع
حطط ,الحطة
خبط ,المخابط
جلنظ ,الجلنظى
نوع ,والتنوع
سدف ,بسدفة
ضبط ,الضبطاء
شيع ,يشيعهعلى
خشف ,والمخشف
رغف ,ورغف
حطط ,حطاطا
حيض ,ومحيضا
ظرمط ,تظرمط
جلفط ,الجلفاط
وسط ,وسطان
ثعع ,فثع
زلقط ,الزلنقطة
غيظ ,وتغيظت
غضض ,فتغضغض
فقع ,الفرقعة
وبغ ,ونباغته
خشف ,مخشف
نحط ,النحيط
هرط ,الهرط
بيع ,بايعه
دحرض ,دحرض
حبط ,حبطا
سوغ ,سوغته
حوط ,حاطونا
خوط ,تخوطه
خرط ,وخرط
خبط ,مخابط
ضبع ,وضباع
غمض ,غامضة
صنع ,صانعه
ضرغط ,اضرغطت
وسع ,موسععليه
غضض ,والغضيضة
فرغلط ,فرغليط
نكظ ,والنكظة
قعع ,مقعقع
فوض ,تفويضا
طوع ,مطاوعا
ألف ,وأوالف
خطط ,مخطوط
خيط ,والمخيط
ديف ,وتديفونفيه
فرغ ,فرغ
رضض ,رضيض
ليع ,يليع
رجع ,وترجع
ربع ,ربعات
خلط ,خالطه
وبط ,وأوبطه
غيض ,والغيضة
صقع ,صقعه
ينع ,الينعةبهاء
ألف ,أؤالفه
بطغ ,بطغ
وسط ,أوسط
ولغ ,ولوغا
نطط ,النطانط
وزغ ,وإزغان
ردف ,والردافة
دحض ,مدحوضة
وتغ ,يوتغإلا
عجلط ,عجلط
جفف ,وجفافا
رجع ,مرجع
يزع ,ويازعهم
أبط ,إط
شمعط ,واشمعطت
فلع ,فانفلع
رفف ,كرفرف
نيط ,نيطا
دضض ,ودض
فقع ,التفقيع
قندع ,القندع
نشط ,ونشيط
غيض ,وغاضت
وضع ,فوضعهدخوله
سبط ,وسبوطة
ريط ,زئاط
دفف ,والدفاف
غوط ,وتغاطا
رنع ,رنعت
ورط ,الورطات
دفف ,ودفف
أنف ,أنيف
نوط ,نائط
غضض ,غضيضة
غمرط ,بغمارطي
عيع ,عيواعن
كظظ ,يتكظكظ
فيض ,فيضا
ربع ,وربعه
قبع ,والقباعي
لعع ,اللعاع
بغغ ,المبغبغأي
هلمط ,هلمطه
قيظ ,وتقيظوا
ذلف ,والذلفاء
خبع ,خبعت
يفع ,والميفعة
كوع ,كوعا
شوط ,وشيطها
خزع ,خزع
فظظ ,كالفظاظ
وسط ,وسطت
سغغ ,السغسغة
رجع ,ورجع
شطط ,شطة
دظظ ,دظا
نوط ,نياطا
جوع ,ومجاوع
رفف ,والرفارف
وشغ ,وشغ
حشط ,الحشط
سمفع ,اسميفع
فوض ,وتفاوضوا
شوع ,شوععلى
غطط ,الغطاطة
رعظ ,رعظه
شمظ ,والشمظ
هيض ,والهيضاء
كوع ,وكوعةبالضم
قرفع ,اقرنفع
نوط ,انتاط
هيع ,مهيعفعيل
زيف ,تزيفبين
ربع ,أربع
مخض ,الممخض
زفف ,بزفوفكأنها
نحض ,ونحض
دفف ,دفف
عثلط ,عثلطه
حرف ,محارفتنا
يرغ ,يرغ
ذرع ,ذريعا
خطط ,خططت
بيع ,وأبعته
رفف ,ارتفافا
نحض ,وينحضه
لعع ,لعاعتهاداه
سبع ,الأسبوع
دوغ ,دوغات
قرع ,التقريع
سكع ,أتسكع
عضرفط ,العضرفوط
شرع ,التشريع
سرعف ,السرعوف
روط ,وروطة
وزع ,والوازع
غرض ,الإغريضة
نوض ,ناض
فوظ ,فوظه
أبط ,يئط
أنف ,يأنفمن
أثف ,وأثيفيات
جمع ,جمعته
ذرع ,والتذريع
زخرط ,والزخريط
عيط ,أعيط
رضض ,رضاض
نضض ,واستنض
صلمع ,أصلمعة
فضض ,الفض
شزغ ,الشزغ
خيف ,الخيوف
نكظ ,كالنكظ
قعع ,قعاقع
زعنف ,الزعنفة
مطط ,مطا
صقع ,والصاقع
مطط ,مطيطة
وقع ,وقوعالطائر
ومظ ,الومظه
شغغ ,شغشغةسوار
روغ ,رواغتهم
زربط ,الزربطانة
بعط ,أبعط
رفع ,ونرفع
حيض ,حائضا
عوض ,الأعواض
زوط ,وزواطى
وجع ,ووجاع
وعظ ,والعظة
درف ,درف
حطط ,والحطائط
خلف ,المختلف
فيظ ,وفيظانا
بيع ,باعه
غيض ,الغيض
شبط ,بالشبوط
وقع ,والوقعة
خوف ,خوفا
قيع ,ويقيع
ريع ,الريع
عيط ,العياط
لعع ,إلعاعا
جوف ,كالجوفي
عضض ,العضعض
ودع ,التوديعوإن
وفع ,الوفعة
قضض ,فتقضقضوا
حنبط ,حنبط
خمع ,خمعا
بيظ ,البيظ
شظظ ,والشظشظة
قوط ,وقوط
شقع ,شقع
خلف ,والمخالف
وقع ,وقيعة
نزع ,نزعه
خرفع ,الخرفع
منع ,ومناع
خنظ ,خنظوة
دلع ,فدلع
زرط ,يزرطها
عطط ,والعط
جعع ,جعجع
هرنع ,كالهرنوع
وضع ,وضعالقطن
هرط ,وهرطمه
لثغ ,واللثغة
أنف ,أنفاقال
قنزع ,قنزعاته
وزع ,ووازعه
شرع ,الشريع
ربع ,كالمربع
صقع ,صاقعة
نبغ ,كالنبغ
سجف ,سجفا
رقع ,الرقعة
قطط ,وقططون
مضض ,مضيضا
جوف ,تجوفكل
نوض ,النوض
شمشط ,شمشاط
بوع ,الباع
وسع ,وساعة
صنع ,وصنعة
فيظ ,فاظ
مطط ,المط
بيع ,واستباعه
فيض ,وفياض
وقع ,فوقعالحق
وتغ ,وتغ
غطط ,ويغطه
خوض ,خوضه
وبط ,وبطه
ضبع ,ضبعيه
رجع ,والرجعى
أنف ,أنافي
غوط ,غاطت
تيع ,وتيعان
خوض ,إخاضة
ميط ,واستماط
سمط ,والسمط
ختع ,للخوتع
محظ ,المماحظة
ضبع ,كضبعت
معع ,معمعانة
وضع ,يوضع
عربض ,العربض
بلكع ,بلكعه
شيع ,شياععني
حيض ,حيض
معع ,والمعمعان
سلط ,وسليط
سوط ,سواط
وضض ,الوض
رنف ,الرنف
زرف ,زروف
ضوع ,يتضوعا
رمض ,مرمضه
عيط ,اعتاطت
قنقع ,قنينقاع
تفف ,تتفيفا
حضض ,كالحضيضى
تسع ,تسعة
وكع ,الوكعاء
بيع ,بياعا
شمط ,كأشمطه
رفض ,إرفاضا
نوط ,نطت
زيغ ,وزيوغا
حيض ,حيضة
صيغ ,صيغطعامه
ولغ ,ووالغون
وكظ ,يكظه
قيض ,نقيض
هيض ,تهيضه
ليغ ,ليغا
عنظ ,العنظوانة
جلقع ,الجلنقع
خنف ,والخانف
قرسع ,المقرنسع
حوط ,حواط
لبط ,ولبط
قطط ,قطقط
خوض ,خاض
دعع ,دعدعساقي
خشف ,خشفا
علبط ,كالعلبطة
رفف ,والرفف
سوع ,سوعاءه
شنع ,شنيعة
ميط ,أميطي
خيط ,كالخيط
مسط ,مسطا
شيط ,أشاطه
درع ,الدرع
نضض ,نضنض
هطط ,والهطاهط
وجع ,وأوجعه
لحظ ,ولحظ
توغ ,توغا
غيض ,تغيضا
شجع ,الشجعاء
ألف ,يألفونرحلة
ردف ,يردفه
شطط ,شطوط
شفع ,كشافع
تلف ,تلف
لهع ,كاللهاعة
نوض ,الأنواض
كعع ,وكععت
رفف ,والرفرفة
بسط ,يبسطه
ريف ,تريف
قرض ,قرضا
رثع ,الراثع
جلط ,جلط
خضض ,لخضخضته
وقع ,المواقعةفي
عجلط ,عجالطا
نوع ,فتنوع
قضض ,والقضاض
زوط ,وزوطى
زقف ,كالتزقف
طلع ,وأطلع
خيف ,وخيفبنى
قحط ,والقحط
قنذع ,كالقنذع
ثطط ,وثططة
شفع ,مستشفع
قوط ,القوطة
ضوع ,والضواع
زهلف ,زهلف
سلط ,لسلط
طوع ,كمطواع
شظظ ,شظه
نبض ,تنبيضا
رقط ,ارقاط
نحط ,ينحط
روض ,رواض
ريع ,مرياع
صقغ ,صقغ
ربع ,بمستربعين
سلط ,سليطة
قرط ,قرطا
ودع ,والدعة
روض ,ريضان
ومض ,إيماضة
أبط ,أطاط
زفف ,وزفوفا
خرف ,يخرفها
حطط ,كأحط
عضض ,فيعضه
حيف ,حيفة
عيط ,تعيط
قسط ,قاسط
ونع ,الونع
رطط ,أرطي
نخرط ,النخرط
زوف ,يتزاوفون
سوط ,كالتسويط
سمط ,مسموط
دهض ,أدهضت
رمض ,رمض
غيظ ,فتغيظ
ودع ,وأودعه
أنف ,الأنيف
برشع ,البرشاع
رجع ,فرجعت
زلف ,والمزدلف
لثع ,الألثع
حنط ,كأحنط
غنظ ,غنظا
يقظ ,أيقاظا
رصع ,رصعا
زحف ,تزحف
سفف ,سفيف
قطط ,فالقطقانة
صوغ ,مصوغامن
رقع ,الرقاع
جرف ,يجرفه
نضض ,نضوض
رجع ,ومرجعة
فرغ ,وفراغا
ثيع ,يثيع
قرع ,قرعت
رمط ,يرمطه
فرض ,بفرض
سقط ,والسقطة
عضض ,تعضوضه
مطط ,التمطط
عضض ,عض
وضع ,موضعة
ريع ,تريعإلى
فلط ,إفلاطا
برنف ,البرنوف
بعع ,والبعة
غضض ,وغضوضة
ألف ,الألف
لغط ,اللغط
ذفط ,يذفط
جطط ,جطى
قضض ,قضيضا
خمط ,خمطت
دفف ,ودفيفا
هملع ,والهملع
خمع ,خمع
خمع ,وخموعا
تيع ,والتيعة
كلظ ,الكلظة
نشط ,وأنشط
شنظ ,كشناظه
عوض ,عاضه
حطط ,حاطط
فقع ,فقاع
أفف ,اليأفوف
ثطط ,فالثطاطة
ذرف ,ذرف
غلظ ,الغلاظة
روض ,مرائض
تيع ,وتيع
غلظ ,الغلظ
سوط ,بالسياط
عضض ,والعض
سمط ,كسمط
روع ,رواعالفؤاد
صلع ,الصليعاء
صنع ,صنع
دسط ,ديسط
خفض ,تخفيض
فعفع ,كالفعافع
سرف ,السرف
هيض ,هيضه
خسف ,الخسف
حطط ,محطا
شمط ,اشمطاط
عرط ,عرط
بسرط ,بسراط
روع ,يروعون
فضغ ,فضغ
خوض ,خوض
ضبط ,ضبطا
نوط ,والنوطة
نضض ,النضناض
لطط ,والتط
ريف ,وأريفت
قعط ,كالتقعيط
وكع ,وكعا
ردف ,ردافى
لعع ,واللعلع
شطط ,وأشط
مضض ,مضمضت
رسع ,ورسعت
هقغ ,هقوغا
ضوط ,والأضوط
حنط ,والحنوط
طوط ,والطيطان
قيض ,وانقاص
ورع ,المورع
فرض ,بفارض
غضض ,والغض
جوف ,وتجوفه
غوط ,وتغوط
لحظ ,لحظه
خطرف ,تخطرفا
مخض ,الممخضة
ريع ,أرياع
خلط ,يخلطه
وضع ,موضوعها
بعع ,فبعها
خوط ,وخوطانية
وقع ,موقعة
خبط ,يخبطن
جعع ,الجعجاع
خيط ,خاط
ليغ ,كاللياغة
لطط ,ويلط
دفف ,كدفدف
شوط ,وتشويطه
أنف ,أنفابضمتين
رصع ,رصعه
وهط ,أوهطه
بيظ ,البيوظ
سبع ,السبيع
وجع ,الوجيعا
ذرعف ,واذرعف
زوع ,زوعا
خوط ,وتخوط
كظظ ,وكظيظ
فظع ,ففظعتهما
فرقع ,فتفرقعت
نضض ,ناض
حوط ,وحيطة
سلط ,سلط
نحض ,وانتحض
شطط ,بالشطيط
رنع ,بالرانعات
ولع ,وولعوإخلاف
صمغ ,صموغ
فرض ,فارض
يقظ ,إيقاظ
شيط ,ويشيط
جوف ,أجوف
غيض ,غيضن
وسط ,وموسط
ديف ,ديافا
قضض ,قضاقض
وعظ ,وموعظة
لضض ,لض
ريط ,زئاطا
صلع ,تصلعا
أنف ,أنوفها
جوف ,والجوفان
شمط ,بشمطها
وخض ,ووخضه
هيض ,المستهاض
حفف ,تحفحفيفا
خفف ,الخفيفعلى
خرشف ,الخضرشفة
فيض ,إفاضة
جوظ ,كجظه
قبض ,المقبضة
فظظ ,فظ
روع ,رواع
خضف ,خضف
كحط ,إكحاط
ريع ,وريعوا
خضلف ,خضلفة
سعط ,المسعط
صنع ,مصنوع
شرع ,وأشرعني
غضض ,وغضا
كرع ,كرعت
ثبط ,ثبطه
وتغ ,لأوتغنك
زأف ,أزأففلانا
شجع ,أشاجع
قعظ ,أقعظني
خطط ,بخطة
ذأط ,ذؤوط
نيط ,وأط
هبركع ,الهبركع
وقع ,والتوقيع
تيط ,الثأطاء
ليط ,اللوطية
روغ ,راوغه
كحط ,كاحط
كوع ,الكوعإلا
عوض ,أعواض
مظع ,والمظع
ربط ,وربيط
قرع ,قرعناك
فيظ ,فيظه
ذرع ,يذرعن
جأف ,الجأف
ذرع ,المذرعة
ثقف ,ثقفا
روض ,والمستروض
روط ,رويط
شعلع ,الشعلع
ثعع ,والثعثعة
حفف ,حفافيه
ردع ,الردع
رضض ,أرضت
قضض ,قضت
حنط ,حانط
قردع ,القردوع
أثف ,تأثيفا
شرط ,يشرط
خفف ,خفوفا
بلط ,مبلط
شوظ ,الشواظ
هجرع ,بهجرع
جعع ,وجعجع
ريع ,ريعا
سقف ,كالسقيف
أفف ,وأففه
صرع ,الصرع
وضع ,والواضعة
شرع ,شرعي
وضع ,ووضعت
رجع ,والمرجوع
قفط ,قفطي
نقض ,النقض
مخط ,مخوطا
سوع ,مسوعله
أنف ,بأنفهعلى
حذرف ,المحذرف
قوط ,قوطه
خيط ,وخيطا
جدف ,ومجدافاه
غوط ,ويتغاطان
لعع ,اللعاعمن
جمظ ,الجمظ
سيع ,والسياع
قنزع ,القنزعة
عبط ,عبط
ولع ,كالوليع
زوع ,تزويعا
نوط ,النياط
وضع ,وأوضعا
زغف ,الزغف
فلع ,فلوع
وهط ,الوهط
وبط ,ووبطا
رجف ,رجفا
صيع ,يصيعها
طوع ,كالطواعية
رضع ,رضعا
ضبع ,ضبعانة
خطط ,والخطي
يقظ ,وأيقظه
عوض ,والعويضان
شيط ,وشيطى
دعع ,دعداعا
غوط ,وغاط
صرقع ,صرقعة
وشع ,وشعالجبل
لعع ,النعاعة
غيض ,غاض
قضض ,القضاض
وقع ,لواقع
يعع ,اليعياع
ثغغ ,الثغثغة
بظظ ,بظ
نحض ,والنحضة
نهض ,فانتهض
بسط ,تبسيطا
شظظ ,وأشظ
لفظ ,ولفظت
لبط ,لبطا
عوض ,عاضني
رطط ,رطائط
رفف ,رفيفا
